PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,License
1870612396,Von der Heimat weitab,"Finale II. Akt (Grigri-Walzer) aus ""Grigri""","Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Bolten-Baeckers, Heinrich (TextdichterIn), https://d-nb.info/gnd/116035765', 'Chancel, Jules (TextdichterIn), https://d-nb.info/gnd/1026236436', 'Bachrich, Susanne (SängerIn), https://d-nb.info/gnd/1078457506', 'Bockmann, August (SängerIn), https://d-nb.info/gnd/1072013037']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[um 1914?],Deutsche Grammophon Aktiengesellschaft,"Apollo-Verlag | Duet w. orch | soprano w. orch | Erscheinungsdatum geschätzt nach Lotz, R. u.a.: Das Bilderlexikon der deutschen Schellack-Schallplatten, Band 2, Seite 254/255. - Holste, 2019",SPL 4530,1811331068,Public Domain Mark 1.0
191578557X,Die Männer sind alle Verbrecher,"aus ""Wie einst im Mai""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Kollo, Walter, https://d-nb.info/gnd/300762771']",,ger,1 Schellackplatte (2 Seiten),[Wahren bei Leipzig],[zwischen 1913 und 1916],Polyphon Record,"Orchester mit Gesang | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 4 (P-S). Bear Family Records, 2019, S. 156",SPL 5560,1838770305,Public Domain Mark 1.0
1915785243,"Ach, Amalia","aus ""Die Kinokönigin""",,"['Gilbert, Jean (KomponistIn), https://d-nb.info/gnd/119539632', 'Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Bredschneider, Willy (KomponistIn), https://d-nb.info/gnd/116469471', 'Gilbert, Jean, https://d-nb.info/gnd/1299778119', 'Kollo, Walter, https://d-nb.info/gnd/1068472723']",,ger,1 Schellackplatte (2 Seiten),[Leipzig],[1913],Famosa Glockophona,"Orchester mit Gesang; Orchester | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 2 (E-I). Bear Family Records, 2019, S. 104",SPL 5379,1838498354,Public Domain Mark 1.0
1915493382,Der Herr von Methusalem,"aus ""Wie einst im Mai""",,"['Bredschneider, Willy (KomponistIn), https://d-nb.info/gnd/116469471', 'Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Meinhard, Carl (MitwirkendeR), https://d-nb.info/gnd/116863641', 'Weise, Lisa (SängerIn), https://d-nb.info/gnd/1229609695', 'Sabo, Oscar (SängerIn), https://d-nb.info/gnd/116713569', 'Kollo, Walter, https://d-nb.info/gnd/300762771']",,ger,1 Schellackplatte (2 Seiten),[S.l.],[1913],Gramophone,"Die Aufnahme basiert auf der Notenausgabe vom Drei-Masken-Verlag | Bariton mit Orchester (Seite 1), Duett mit Orchester (Seite 2) | Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin",SPL 4543,1838152601,Public Domain Mark 1.0
1915478553,Kleine Mädchen müssen schlafen geh'n,"Duett aus der Posse: ""Der Juxbaron""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Werkmeister, Lotte (SängerIn), https://d-nb.info/gnd/117296015', 'Kuttner, Max (SängerIn), https://d-nb.info/gnd/134437470', 'Kollo, Walter, https://d-nb.info/gnd/1068472669']",,ger,1 Schellackplatte (2 Seiten),[Hannover-Linden],[1913],Favorite Record,Duo with Orchestra,SPL 3774,1836532032,Public Domain Mark 1.0
191490110X,Mein geliebtes Firlefänzchen,"aus ""Wie einst im Mai""",,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Bredschneider, Willy (KomponistIn), https://d-nb.info/gnd/116469471', 'Dora, Josefine (MitwirkendeR), https://d-nb.info/gnd/1060065258', 'Meinhard, Carl (MitwirkendeR), https://d-nb.info/gnd/116863641', 'Perry, Ida (MitwirkendeR), https://d-nb.info/gnd/116082739', 'Sabo, Oscar (SängerIn), https://d-nb.info/gnd/116713569', 'Kollo, Walter, https://d-nb.info/gnd/300762771']",,ger,1 Schellackplatte (2 Seiten),[S.l.],[1913?],Gramophone,Terzett mit Orchester. Tenor mit Orchester | Die Aufnahmen basieren auf der Notenausgabe vom Drei-Masken-Verlag,SPL 3577,1834153220,Public Domain Mark 1.0
1914588142,Haiti-Ballade,"Two-Step aus der Posse ""Wie einst im Mai""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Dora, Josefine (SängerIn), https://d-nb.info/gnd/1060065258', 'Kark, Friedrich (DirigentIn), https://d-nb.info/gnd/134875737', 'Kollo, Walter, https://d-nb.info/gnd/300762771']",,ger,1 Schellackplatte (2 Seiten),[Erscheinungsort nicht ermittelbar],[1913],Parlophon-Record,,SPL 633,1833761162,Public Domain Mark 1.0
1915484529,Das Lied von der Mühle,"aus ""Filmzauber""",,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Bredschneider, Willy (KomponistIn), https://d-nb.info/gnd/116469471', 'Meinhard, Carl (SängerIn), https://d-nb.info/gnd/116863641', 'Kollo, Walter, https://d-nb.info/gnd/1068472723']",,ger,1 Schellackplatte (2 Seiten),[S.l.],[1912],Gramophone,"Tenor w. Orch | Manufactured by Deutsche Grammophon-Aktiengesellschaft, Berlin | Die Aufnahme basiert auf der Notenausgabe vom Drei Masken-Verlag",SPL 3934,1837975523,Public Domain Mark 1.0
1915478944,Hab'n wir uns nicht schon mal kenn'n gelernt?,"Walzerduett aus ""Filmzauber""",,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Bredschneider, Willy (KomponistIn), https://d-nb.info/gnd/116469471', 'Weise, Lisa (SängerIn), https://d-nb.info/gnd/1229609695', 'Sabo, Oscar (SängerIn), https://d-nb.info/gnd/116713569', 'Kollo, Walter, https://d-nb.info/gnd/1068472723']",,ger,1 Schellackplatte (2 Seiten),[S.l.],[1912?],Gramophone,"Basiert auf der Notenausgabe vom Drei Masken-Verlag | Manufactured by Deutsche Grammophon-Aktiengesellschaft, Berlin | Duet with orch",SPL 3786,183654314X,Public Domain Mark 1.0
1914898214,Haben wir uns nicht schon mal kenn'n gelernt?,"Walzer-Duett aus der Posse ""Filmzauber"" : Repertoirestück des Berliner Theaters","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Nitter, Erna (SängerIn), https://d-nb.info/gnd/117023523', 'Platen, Karl (SängerIn), https://d-nb.info/gnd/116206659', 'Kollo, Walter, https://d-nb.info/gnd/1068472723']","['Dacapo-Orchester (InstrumentalmusikerIn), https://d-nb.info/gnd/10160146-3']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1912 oder 1913],Dacapo-Record Company,"Gesungen von Erna Nitter-Götz und Karl Platen, Originalbesetzung des ""Berliner Theaters"", mit Dacapo-Orchester, Berlin | Reproduced in Berlin | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 1 (A-D). Bear Family Records, 2019, S. 421",SPL 3472,1834131812,Public Domain Mark 1.0
1870691903,Vive l'amour,"Wenn im Lenz die Knospen sprießen : aus ""Grigri""",,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Lincke, Paul, https://d-nb.info/gnd/1296063763', 'Kollo, Walter, https://d-nb.info/gnd/1307228550']",,ger,1 Schellackplatte (2 Seiten),[Verlagsort nicht ermittelbar],[1912?],Zonophone Records,"Die Aufnahmen basieren auf den Notenausgaben vom Apollo-Verlag (Seite A) und dem Drei-Masken-Verlag (Seite B) | Manufactured by Deutsche Grammophon-Aktiengesellschaft, Berlin | Erscheinungsdatum geschätzt",SPL 8739,1811337961,Public Domain Mark 1.0
1870691172,Am Bosporus,"aus ""Halloh! Die große Revue""",,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lehár, Franz (KomponistIn), https://d-nb.info/gnd/118571036', 'Lincke, Paul, https://d-nb.info/gnd/1305845285', 'Lehár, Franz, https://d-nb.info/gnd/1151448192']",,zxx,1 Schellackplatte (2 Seiten),[Verlagsort nicht ermittelbar],[zwischen 1912 und 1914],[Verlag nicht ermittelbar],Erscheinungsdatum nicht ermittelbar. Dieses Label erschien zwischen 1912 und 1914,SPL 9911,1811339689,Public Domain Mark 1.0
1870689097,Die grosse Kanone,I. [und] II. Teil,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Stettiner Sänger (SängerIn), https://d-nb.info/gnd/1128928744', 'Büchner-Orchester (InstrumentalmusikerIn), https://d-nb.info/gnd/1026035090']",ger,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1912 und 1914],Kunst-Record,"Erscheinungsdatum geschätzt nach Lotz, R. u.a.: Das Bilderlexikon der deutschen Schellack-Schallplatten, Band 3, Seite 119. - Holste, 2019",SPL 9061,1869120752,Public Domain Mark 1.0
